Sector,October,November,December,January,February,March,April,May,June,July,August,September
Big Bend,530.00,421.00,373.00,433.00,484.00,660.00,575.00,493.00,415.00,280.00,295.00,329.00
Del Rio,1119.00,897.00,697.00,1234.00,1245.00,1874.00,1791.00,1718.00,1326.00,767.00,1095.00,931.00
El Centro,2589.00,2412.00,2196.00,2688.00,2836.00,4408.00,3419.00,3126.00,2440.00,2331.00,2075.00,2042.00
El Paso,1007.00,894.00,725.00,1124.00,1140.00,1528.00,1359.00,1380.00,1005.00,725.00,732.00,632.00
Laredo,2613.00,2130.00,1802.00,2526.00,3173.00,4433.00,4528.00,3813.00,3475.00,1857.00,2819.00,2118.00
Rio Grande Valley,4236.00,3688.00,2987.00,3658.00,4845.00,7141.00,7139.00,7477.00,5595.00,3832.00,5329.00,3839.00
San Diego,5017.00,4738.00,4636.00,6413.00,6982.00,9061.00,7115.00,5858.00,5092.00,5113.00,4528.00,4012.00
Tucson,23197.00,16986.00,10907.00,16122.00,21266.00,31197.00,28579.00,22572.00,13160.00,10303.00,9280.00,8633.00
Yuma,582.00,649.00,711.00,586.00,819.00,1059.00,732.00,608.00,447.00,401.00,262.00,260.00
